repo_name,landscape_action,landscape_layer,landscape_section,openrank_2606,stars,license,description,selection_reason,selection_caveat
BerriAI/litellm,keep,Model Infra,Model API gateways,113.81,54916,NOASSERTION,"The fastest, litest AI Gateway. Rust core with Python SDK. Call 100+ LLM APIs in OpenAI (or native) format with cost tracking, guardrails, load balancing, and logging [Bedrock, Azure, OpenAI, Anthropic, OpenAI, VertexAI, vLLM, Nvidia NIM]","当前图中的 Model API gateways 代表项目；仓库仍在维护，54,916 stars，最近可用 OpenRank 113.81。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
huggingface/lerobot,keep,Model Infra,Pre-Train · Robotics infra,17.57,26203,Apache-2.0,🤗 LeRobot: Making AI for Robotics more accessible with end-to-end learning,"当前图中的 Pre-Train · Robotics infra 代表项目；仓库仍在维护，26,203 stars，最近可用 OpenRank 17.57。",只放 robotics infra，不把机器人 foundation model 混进来。
OpenMind/OM1,keep,Model Infra,Pre-Train · Robotics infra,15.46,2890,MIT,Modular AI HAL (Hardware Abstraction Layer) for Robots,"当前图中的 Pre-Train · Robotics infra 代表项目；仓库仍在维护，2,890 stars，最近可用 OpenRank 15.46。",只放 robotics infra，不把机器人 foundation model 混进来。
QuantumNous/new-api,keep,Model Infra,Model API gateways,26.61,43664,AGPL-3.0,"A unified AI model hub for aggregation & distribution. It supports cross-converting various LLMs into OpenAI-compatible, Claude-compatible, or Gemini-compatible formats. A centralized gateway for personal and enterprise model management. 🍥","当前图中的 Model API gateways 代表项目；仓库仍在维护，43,664 stars，最近可用 OpenRank 26.61。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
higress-group/higress,keep,Model Infra,Model API gateways,20.27,8960,Apache-2.0,🤖 AI Gateway | AI Native API Gateway,"当前图中的 Model API gateways 代表项目；仓库仍在维护，8,960 stars，最近可用 OpenRank 20.27。",需要区分 model API、MCP gateway 和 agentic proxy，避免把所有代理工具放在一起。
triton-lang/triton,keep,Model Infra,Pre-Train · Compiler & accelerator,47.07,19803,MIT,Development repository for the Triton language and compiler,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，19,803 stars，最近可用 OpenRank 47.07。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
NVIDIA/TransformerEngine,keep,Model Infra,Pre-Train · Compiler & accelerator,32.73,3450,Apache-2.0,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit and 4-bit floating point (FP8 and FP4) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.","当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，3,450 stars，最近可用 OpenRank 32.73。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
flashinfer-ai/flashinfer,keep,Model Infra,Pre-Train · Compiler & accelerator,119.8,6053,Apache-2.0,FlashInfer: Kernel Library for LLM Serving,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，6,053 stars，最近可用 OpenRank 119.80。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
NVIDIA/cutlass,keep,Model Infra,Pre-Train · Compiler & accelerator,6.92,10151,NOASSERTION,CUDA Templates and Python DSLs for High-Performance Linear Algebra,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，10,151 stars，最近可用 OpenRank 6.92。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
deepseek-ai/DeepEP,keep,Model Infra,Pre-Train · Compiler & accelerator,2.55,9913,MIT,DeepEP: an efficient expert-parallel communication library,"当前图中的 Pre-Train · Compiler & accelerator 代表项目；仓库仍在维护，9,913 stars，最近可用 OpenRank 2.55。",该区强调编译、kernel 和模型优化的结构覆盖，不追求完整 CUDA 工具清单。
