decision,repo_id,repo_name,target_layer,target_box,stars_current,watch_events_visible,openrank_202604,openrank_202605,openrank_202606,license,created_at,pushed_at,why,caveat,description,html_url
A-建议补入,1128123594,volcengine/OpenViking,Agent Infra,"Memory, Knowledge & Context",27554,223,125.51000213623048,130.99000549316406,140.22999572753906,AGPL-3.0,2026-01-05,2026-07-28T13:09:05Z,context database 是当前图上的结构缺口；OpenRank 在不完整的 4–6 月数据中仍连续上升，且当前关注度高。,主项目为 AGPL-3.0，需在图例或许可证分析中明确；不能只写成普通向量数据库。,"Self-evolving Context Database for AI Agents. Unify Agent Memory, Knowledge RAG and Skills.",https://github.com/volcengine/OpenViking
A-建议补入,974445592,microsoft/agent-framework,Agent Infra,Agent Framework,12463,107,69.23999786376953,57.77000045776367,48.02000045776367,MIT,2025-04-28,2026-07-27T23:18:38Z,统一 Python 与 .NET 的 agent / multi-agent framework，补足企业开发栈与跨语言框架代表。,与 AutoGen、Semantic Kernel 有谱系关系，制图时避免三个 Microsoft logo 重复表达同一层。,"A framework for building, orchestrating and deploying AI agents and multi-agent workflows with support for Python and .NET.",https://github.com/microsoft/agent-framework
A-建议补入,976095156,JetBrains/koog,Agent Infra,Agent Framework,4476,0,42.060001373291016,30.280000686645508,37.4900016784668,Apache-2.0,2025-05-01,2026-07-28T12:40:22Z,当前框架区以 Python/TypeScript 为主；Koog 提供 JVM、Android、iOS 和浏览器覆盖，对 Apache 中文受众也更有代表性。,star 不是最高，但结构代表性强；应作为语言生态补位而非热度冠军。,"Koog is a JVM (Java and Kotlin) framework for building predictable, fault-tolerant and enterprise-ready AI agents across all platforms – from backend services to Android and iOS, JVM, and even in-browser environments. Koog is based on our AI products expertise and provides proven solutions for complex LLM and AI problems",https://github.com/JetBrains/koog
A-建议补入,925270205,trycua/cua,Agent Infra,Tool Use / Computer Use,20723,255,16.520000457763672,13.670000076293944,14.15999984741211,MIT,2025-01-31,2026-07-28T13:09:15Z,把 computer-use 从单一 browser agent 扩展到跨 OS driver、fleet、benchmark、训练与评估数据。,OpenRank 绝对值不高；推荐理由主要是技术类别变化和当前 attention signal。,"Scale computer-use 2.0 with open-source drivers, cross-OS fleets, and benchmarks for training, evaluation, and data generation.",https://github.com/trycua/cua
A-建议补入,950891299,agentgateway/agentgateway,Agent Infra,Protocols & Tool Interoperability,4084,70,32.31999969482422,30.100000381469727,28.6299991607666,Apache-2.0,2025-03-18,2026-07-28T12:44:18Z,代表 MCP/agent 流量从简单 API proxy 走向 agentic proxy、策略和控制平面。,应与 LiteLLM 的 model API proxy 区分，避免都放在 Model API Proxy。,Next Generation Agentic Proxy for AI Agents and MCP servers,https://github.com/agentgateway/agentgateway
A-建议补入,979392131,ag-ui-protocol/ag-ui,Agent Infra,Protocols & Tool Interoperability,14962,88,20.850000381469727,15.15999984741211,12.720000267028809,MIT,2025-05-07,2026-07-28T13:06:16Z,补上 agent 到前端应用之间的事件与交互协议，当前图只覆盖 MCP/A2A，协议栈不完整。,与 A2UI 不是二选一：AG-UI 更偏 agent-user interaction transport/event layer。,AG-UI: the Agent-User Interaction Protocol. Bring Agents into Frontend Applications.,https://github.com/ag-ui-protocol/ag-ui
A-建议补入,1063641074,a2ui-project/a2ui,Agent Infra,Protocols & Tool Interoperability,15926,74,33.869998931884766,27.56999969482422,35.9900016784668,Apache-2.0,2025-09-24,2026-07-28T00:59:41Z,代表 agent-generated UI 的声明式开放标准，与 MCP、A2A、AG-UI 形成新的交互协议层。,官方仍标注 early-stage public preview；图上建议加 preview 标识。,,https://github.com/a2ui-project/a2ui
A-建议补入,1036441713,kubernetes-sigs/agent-sandbox,Agent Infra,Dev Environment & Sandbox,3316,69,36.0,25.280000686645508,21.600000381469727,Apache-2.0,2025-08-12,2026-07-28T04:09:56Z,由 Kubernetes SIG Apps 承载，提供声明式 Sandbox CRD、稳定身份、持久存储和 warm pool，代表 sandbox 走向标准化编排。,它是 sandbox orchestrator，不是底层隔离 runtime；需与 gVisor/Kata/OpenSandbox 区分。,"agent-sandbox enables easy management of isolated, stateful, singleton workloads, ideal for use cases like AI agent runtimes.",https://github.com/kubernetes-sigs/agent-sandbox
A-建议补入,1054512829,vllm-project/vllm-omni,Model Infra,Serving,5719,62,137.4,131.19,105.73,Apache-2.0,2025-09-11,2026-07-28T13:00:50Z,把 vLLM 的 serving 范围扩展到文本、图像、音频、视频和 action output，4–6 月 OpenRank 信号强。,与 vLLM 主项目并列时要标注 omni-modality，不能只增加一个相似 logo。,A framework for efficient model inference with omni-modality models,https://github.com/vllm-project/vllm-omni
A-建议补入,807305060,LMCache/LMCache,Model Infra,Inference,10920,88,53.66,49.91,42.86,Apache-2.0,2024-05-28,2026-07-28T10:28:27Z,KV cache 已从引擎内部优化变成可持久化、跨引擎复用和可观测的独立层，尤其匹配长上下文和多轮 agent workload。,建议新增 KV Cache / State Reuse 小类，而不是继续塞进通用 inference。,KV cache management layer for LLM inference,https://github.com/LMCache/LMCache
A-建议补入,924058625,vllm-project/vllm-ascend,Model Infra,Serving / Hardware,2511,0,145.55999755859375,111.87999725341795,87.97000122070312,Apache-2.0,2025-01-29,2026-07-28T12:54:56Z,4–6 月 OpenRank 信号很强，补足当前图过度集中于 CUDA/GPU 的硬件与社区多样性。,它是 vLLM hardware plugin；版面紧张时可作为 vLLM 的子标识而非独立大 logo。,Community maintained hardware plugin for vLLM on Ascend,https://github.com/vllm-project/vllm-ascend
A-建议补入,250510075,huggingface/trl,Model Infra,Post-Train,18949,0,44.220001220703125,38.63999938964844,31.149999618530273,Apache-2.0,2020-03-27,2026-07-28T10:34:23Z,SFT、GRPO、DPO 等 post-training 的基础库，在 Hugging Face 生态中的通用性和持续活动都足以成为基线项目。,项目并非 2026 新出现；这是旧图漏项修正，不要叙述成新晋爆发项目。,Train transformer language models with reinforcement learning.,https://github.com/huggingface/trl
B-候补观察,1166129534,NVIDIA/OpenShell,Agent Infra,Dev Environment & Sandbox,7846,117,21.38999938964844,34.4900016784668,33.599998474121094,Apache-2.0,2026-02-24,2026-07-28T13:03:07Z,安全、私有的 autonomous-agent runtime，5–6 月 OpenRank 信号保持在较高位置。,与 NemoClaw 构成同一产品栈，图上最多选一个主 logo；优先观察社区独立性。,"OpenShell is the safe, private runtime for autonomous AI agents.",https://github.com/NVIDIA/OpenShell
B-候补观察,679343504,topoteretes/cognee,Agent Infra,"Memory, Knowledge & Context",29496,276,31.579999923706055,24.06999969482422,25.68000030517578,Apache-2.0,2023-08-16,2026-07-28T13:04:26Z,长期记忆与 knowledge graph 结合，当前 star 与可见 WatchEvent 信号都高。,memory 区已有 Mem0、Hindsight、MemU 等，需用外部贡献/采用证据决定是否替换而非无限加 logo。,Cognee is the open-source AI memory platform for agents. Give your AI agents persistent long-term memory across sessions with a self-hosted knowledge graph engine.,https://github.com/topoteretes/cognee
B-候补观察,812044182,googleapis/mcp-toolbox,Agent Infra,Protocols & Tool Interoperability,16037,0,41.150001525878906,37.93000030517578,29.09000015258789,Apache-2.0,2024-06-07,2026-07-28T06:42:01Z,数据库 MCP server 的代表实现，连接 agent 与生产数据系统。,更像具体工具集成；若协议区只保留标准和通用 runtime，可不单列。,MCP Toolbox for Databases is an open source MCP server for databases.,https://github.com/googleapis/mcp-toolbox
B-候补观察,1007406267,coze-dev/coze-loop,Agent Infra,Observability & Evaluation,5652,0,32.5099983215332,34.97999954223633,31.059999465942383,Apache-2.0,2025-06-24,2026-07-28T13:09:41Z,覆盖开发、调试、评测与监控的 agent optimization lifecycle，4–6 月 OpenRank 相对稳定。,需要进一步核验外部采用和贡献者结构，再决定是否替换现有 eval/observability logo。,"Next-generation AI Agent Optimization Platform: Cozeloop addresses challenges in AI agent development by providing full-lifecycle management capabilities from development, debugging, and evaluation to monitoring.  ",https://github.com/coze-dev/coze-loop
B-候补观察,1004147641,microsoft/agent-lightning,Model Infra,Post-Train,17427,0,,,,MIT,2025-06-18,2026-07-16T03:26:45Z,直接面向 agent training/optimization，当前 star 快照高。,OpenDigger 最近三个月没有可靠 OpenRank记录；不能仅凭 star 进入 A 档。,The absolute trainer to light up AI agents.,https://github.com/microsoft/agent-lightning
B-候补观察,790916393,NVIDIA/Model-Optimizer,Model Infra,Inference Optimization,3323,0,66.79000091552734,62.34000015258789,56.13999938964844,Apache-2.0,2024-04-23,2026-07-28T12:53:45Z,把量化、蒸馏、剪枝、投机解码等部署优化统一到一套库中，OpenRank 信号持续。,厂商工具属性较强，需与 TensorRT-LLM/TransformerEngine 的重复度一起取舍。,"A unified library of SOTA model optimization techniques like quantization, distillation, pruning, neural architecture search, speculative decoding, etc. It compresses deep learning models for downstream deployment frameworks like TensorRT-LLM, TensorRT, vLLM, etc. to optimize inference speed.",https://github.com/NVIDIA/Model-Optimizer
B-候补观察,949546994,NVIDIA-NeMo/RL,Model Infra,Post-Train,1855,0,45.150001525878906,52.81999969482422,47.02000045776367,Apache-2.0,2025-03-16,2026-07-28T12:51:39Z,可扩展 reinforcement learning toolkit，5–6 月 OpenRank 信号稳定。,Post-Train 已有 verl、AReaL、Slime、Miles；应以生态代表性而不是 logo 数量决定。,Scalable toolkit for efficient model reinforcement,https://github.com/NVIDIA-NeMo/RL
