repo_id,repo_name,display_name,current_landscape_layer,current_landscape_stage,current_landscape_section,current_openrank,source_url
937253475,anthropics/claude-code,Claude Code,Agent Infra,application,Agentic coding,810.36,https://landscape-demo-omega.vercel.app/
965415649,openai/codex,Codex,Agent Infra,application,Agentic coding,474.9,https://landscape-demo-omega.vercel.app/
975734319,anomalyco/opencode,OpenCode,Agent Infra,application,Agentic coding,471.04,https://landscape-demo-omega.vercel.app/
968197216,google-gemini/gemini-cli,Gemini CLI,Agent Infra,application,Agentic coding,355.52,https://landscape-demo-omega.vercel.app/
1035029907,earendil-works/pi,Pi,Agent Infra,application,Agentic coding,92.71,https://landscape-demo-omega.vercel.app/
946087422,Kilo-Org/kilocode,Kilo Code,Agent Infra,application,Agentic coding,76.58,https://landscape-demo-omega.vercel.app/
846698999,aaif-goose/goose,Goose,Agent Infra,application,Agentic coding,72.82,https://landscape-demo-omega.vercel.app/
1008713177,QwenLM/qwen-code,Qwen Code,Agent Infra,application,Agentic coding,58.71,https://landscape-demo-omega.vercel.app/
384219990,warpdotdev/warp,Warp,Agent Infra,application,Agentic coding,57.98,https://landscape-demo-omega.vercel.app/
824874689,cline/cline,Cline,Agent Infra,application,Agentic coding,54.24,https://landscape-demo-omega.vercel.app/
585860664,github/copilot-cli,Copilot CLI,Agent Infra,application,Agentic coding,52.16,https://landscape-demo-omega.vercel.app/
771302083,OpenHands/OpenHands,OpenHands,Agent Infra,application,Agentic coding,46.21,https://landscape-demo-omega.vercel.app/
644686905,continuedev/continue,Continue,Agent Infra,application,Agentic coding,38.21,https://landscape-demo-omega.vercel.app/
987670088,charmbracelet/crush,Crush,Agent Infra,application,Agentic coding,34.44,https://landscape-demo-omega.vercel.app/
1197990888,Gitlawb/openclaude,OpenClaude,Agent Infra,application,Agentic coding,40.14,https://landscape-demo-omega.vercel.app/
1073224795,obra/superpowers,Superpowers,Agent Infra,application,Coding harnesses,30.45,https://landscape-demo-omega.vercel.app/
1136590548,affaan-m/everything-claude-code,Everything Claude Code,Agent Infra,application,Coding harnesses,23.67,https://landscape-demo-omega.vercel.app/
