repo_name,landscape_action,landscape_layer,landscape_section,openrank_2606,stars,license,description,selection_reason,selection_caveat
openclaw/openclaw,keep,Agent Infra,Personal AI assistants,631.92,384408,NOASSERTION,Your own personal AI assistant. Any OS. Any Platform. The lobster way. 🦞,"当前图中的 Personal AI assistants 代表项目；仓库仍在维护，384,408 stars，最近可用 OpenRank 631.92。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
langgenius/dify,keep,Agent Infra,Workflow & agent builders,85.63,150556,NOASSERTION,"Build Agentic workflows, RAG pipelines, with rich AI model and tool support on one collaborative workspace. Deploy on cloud, VPC, or self-hosted, so teams move from prototype to production without rebuilding the stack.","当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，150,556 stars，最近可用 OpenRank 85.63。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
anomalyco/opencode,keep,Agent Infra,Agentic coding,271.45,190463,MIT,The open source coding agent.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，190,463 stars，最近可用 OpenRank 271.45。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
openai/codex,keep,Agent Infra,Agentic coding,373.91,102090,Apache-2.0,Lightweight coding agent that runs in your terminal,"当前图中的 Agentic coding 代表项目；仓库仍在维护，102,090 stars，最近可用 OpenRank 373.91。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
google-gemini/gemini-cli,keep,Agent Infra,Agentic coding,93.64,106219,Apache-2.0,An open-source AI agent that brings the power of Gemini directly into your terminal.,"当前图中的 Agentic coding 代表项目；仓库仍在维护，106,219 stars，最近可用 OpenRank 93.64。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
n8n-io/n8n,keep,Agent Infra,Workflow & agent builders,156.06,198383,NOASSERTION,"Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，198,383 stars，最近可用 OpenRank 156.06。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
anthropics/skills,keep,Agent Infra,Protocols & interoperability,4.95,164751,NOASSERTION,Public repository for Agent Skills,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，164,751 stars，最近可用 OpenRank 4.95。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
modelcontextprotocol/servers,keep,Agent Infra,Protocols & interoperability,7.99,88989,NOASSERTION,Model Context Protocol Servers,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，88,989 stars，最近可用 OpenRank 7.99。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
browser-use/browser-use,keep,Agent Infra,Tool & browser use,9.58,107103,MIT,🌐 Make websites accessible for AI agents. Automate tasks online with ease.,"当前图中的 Tool & browser use 代表项目；仓库仍在维护，107,103 stars，最近可用 OpenRank 9.58。",browser/computer-use 项目迭代很快，需要按可复现能力和维护状态复核。
cline/cline,keep,Agent Infra,Agentic coding,49.31,65129,Apache-2.0,"Autonomous coding agent as an SDK, IDE extension, or CLI assistant.","当前图中的 Agentic coding 代表项目；仓库仍在维护，65,129 stars，最近可用 OpenRank 49.31。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
aaif-goose/goose,keep,Agent Infra,Agentic coding,30.41,51850,Apache-2.0,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM","当前图中的 Agentic coding 代表项目；仓库仍在维护，51,850 stars，最近可用 OpenRank 30.41。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
anthropics/claude-code,keep,Agent Infra,Agentic coding,269.1,139392,NOASSERTION,"Claude Code is an agentic coding tool that lives in your terminal, understands your codebase, and helps you code faster by executing routine tasks, explaining complex code, and handling git workflows - all through natural language commands.","当前图中的 Agentic coding 代表项目；仓库仍在维护，139,392 stars，最近可用 OpenRank 269.10。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
open-webui/open-webui,keep,Agent Infra,Chatbot workspaces,43.7,147065,NOASSERTION,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，147,065 stars，最近可用 OpenRank 43.70。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
lobehub/lobehub,add,Agent Infra,Personal AI assistants,60.65,80929,NOASSERTION,"🤯 LobeHub is your Chief Agent Operator, organizing your agents into 7×24 operations by hiring, scheduling, and reporting on your entire AI team.",80k+ stars、最近可用 OpenRank 仍在 60 左右，已经成为个人 agent 工作空间和长期运行入口的代表项目。,产品同时覆盖聊天、知识库和多 agent 管理；主图只放在 Personal AI assistants，避免重复出现在 framework 或 chatbot。
infiniflow/ragflow,keep,Agent Infra,"Memory, knowledge & context",62.54,86252,Apache-2.0,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，86,252 stars，最近可用 OpenRank 62.54。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
OpenHands/OpenHands,keep,Agent Infra,Agentic coding,18.42,82399,MIT,🙌 OpenHands: AI-Driven Development,"当前图中的 Agentic coding 代表项目；仓库仍在维护，82,399 stars，最近可用 OpenRank 18.42。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
langflow-ai/langflow,keep,Agent Infra,Workflow & agent builders,43.82,152530,MIT,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，152,530 stars，最近可用 OpenRank 43.82。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
vercel/ai,keep,Agent Infra,Code-first frameworks,55.99,25859,NOASSERTION,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，25,859 stars，最近可用 OpenRank 55.99。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
AstrBotDevs/AstrBot,keep,Agent Infra,Personal AI assistants,42.16,38235,AGPL-3.0,"AI Agent Assistant & development framework that integrates lots of IM platforms, LLMs, plugins and AI feature, and can be your openclaw alternative. ✨","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，38,235 stars，最近可用 OpenRank 42.16。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
pydantic/pydantic-ai,keep,Agent Infra,Code-first frameworks,36.55,18861,MIT,"AI Agent Framework, the Pydantic way","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，18,861 stars，最近可用 OpenRank 36.55。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
mem0ai/mem0,keep,Agent Infra,"Memory, knowledge & context",17.75,61924,Apache-2.0,Universal memory layer for AI Agents,"当前图中的 Memory, knowledge & context 代表项目；仓库仍在维护，61,924 stars，最近可用 OpenRank 17.75。",数据库、RAG 和 memory 边界容易混淆，图中要标清每个项目承担的层次。
coder/coder,keep,Agent Infra,Development sandboxes,89.97,13970,AGPL-3.0,Secure environments for developers and their agents,"当前图中的 Development sandboxes 代表项目；仓库仍在维护，13,970 stars，最近可用 OpenRank 89.97。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
Kilo-Org/kilocode,keep,Agent Infra,Agentic coding,58.37,26569,MIT,"Kilo is the all-in-one agentic engineering platform. Build, ship, and iterate faster with the most popular open source coding agent.","当前图中的 Agentic coding 代表项目；仓库仍在维护，26,569 stars，最近可用 OpenRank 58.37。",该区变化最快，logo 数量控制在 12 个，后续按持续协作和产品独立性替换。
activepieces/activepieces,keep,Agent Infra,Workflow & agent builders,61.65,23454,NOASSERTION,AI Agents & MCPs & AI Workflow Automation • (~400 MCP servers for AI agents) • AI Automation / AI Agent with MCPs • AI Workflows & AI Agents • MCPs for AI Agents,"当前图中的 Workflow & agent builders 代表项目；仓库仍在维护，23,454 stars，最近可用 OpenRank 61.65。",与通用低代码平台有交叉，主图只保留明确支持 agent workflow 的项目。
livekit/agents,keep,Agent Infra,Code-first frameworks,36.48,11536,Apache-2.0,A framework for building realtime voice AI agents 🤖🎙️📹,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，11,536 stars，最近可用 OpenRank 36.48。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
google/adk-python,keep,Agent Infra,Code-first frameworks,25.21,20921,Apache-2.0,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，20,921 stars，最近可用 OpenRank 25.21。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
langchain-ai/langchain,keep,Agent Infra,Code-first frameworks,21.5,142799,MIT,The agent engineering platform.,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，142,799 stars，最近可用 OpenRank 21.50。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
CherryHQ/cherry-studio,keep,Agent Infra,Chatbot workspaces,68.81,49083,AGPL-3.0,"AI productivity studio with smart chat, autonomous agents, and 300+ assistants. Unified access to frontier LLMs","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，49,083 stars，最近可用 OpenRank 68.81。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
code-yeongyu/oh-my-openagent,keep,Agent Infra,Coding harnesses,46.25,66711,NOASSERTION,"omo/lazycodex: The coding agent for tokenmaxxers;the one and only agent harness for complex codebases. For your Codex, for your OpenCode","当前图中的 Coding harnesses 代表项目；仓库仍在维护，66,711 stars，最近可用 OpenRank 46.25。",harness 热度容易受短期传播影响，需要持续检查外部贡献和真实复用。
danny-avila/LibreChat,keep,Agent Infra,Chatbot workspaces,29.09,41382,MIT,"Enhanced ChatGPT Clone: Features Agents, MCP, Skills, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active","当前图中的 Chatbot workspaces 代表项目；仓库仍在维护，41,382 stars，最近可用 OpenRank 29.09。",该区维持三个成熟代表，避免把普通聊天客户端扩张成主图主体。
pipecat-ai/pipecat,keep,Agent Infra,Code-first frameworks,25.86,13773,BSD-2-Clause,Open Source framework for voice and multimodal conversational AI,"当前图中的 Code-first frameworks 代表项目；仓库仍在维护，13,773 stars，最近可用 OpenRank 25.86。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
farion1231/cc-switch,keep,Agent Infra,Coding harnesses,42.87,121967,MIT,"A cross-platform desktop All-in-One assistant for Claude Code, Codex, OpenCode, OpenClaw, Grok Build & Hermes Agent. Only official website: ccswitch.io",cc-switch 管理 Claude Code、Codex、OpenCode 等 coding agent 的配置和切换，更接近 harness，而不是模型 API gateway。,项目关注度很高，但产品属性较强；保留一个 logo，不在 gateway 区重复出现。
zeroclaw-labs/zeroclaw,keep,Agent Infra,Personal AI assistants,54.22,32421,Apache-2.0,"Fast, small, and fully autonomous AI personal assistant infrastructure, any OS, any platform — deploy anywhere, swap anything 🦀","当前图中的 Personal AI assistants 代表项目；仓库仍在维护，32,421 stars，最近可用 OpenRank 54.22。",产品边界普遍较宽，只在这一分区出现，避免与 chatbot 和 framework 重复。
crewAIInc/crewAI,keep,Agent Infra,Code-first frameworks,20.22,56275,MIT,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.","当前图中的 Code-first frameworks 代表项目；仓库仍在维护，56,275 stars，最近可用 OpenRank 20.22。",该区按语言和 runtime 多样性取样，不追求把所有 framework 都放进来。
a2aproject/A2A,keep,Agent Infra,Protocols & interoperability,6.98,25069,Apache-2.0,Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications.,"当前图中的 Protocols & interoperability 代表项目；仓库仍在维护，25,069 stars，最近可用 OpenRank 6.98。",协议成熟度差异较大，preview 或规范状态需要在图上明确。
mastra-ai/mastra,keep,Agent Infra,Multi-agent orchestration,92.69,26649,NOASSERTION,Mastra is the modern TypeScript framework for AI-powered applications and agents.,"当前图中的 Multi-agent orchestration 代表项目；仓库仍在维护，26,649 stars，最近可用 OpenRank 92.69。",多 agent 概念变化快，保留项目需要持续显示独立编排能力。
daytonaio/daytona,keep,Agent Infra,Development sandboxes,26.8,72122,NOASSERTION,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,"当前图中的 Development sandboxes 代表项目；仓库仍在维护，72,122 stars，最近可用 OpenRank 26.80。",编排层和隔离 runtime 不是一回事，主图说明中要保留这一区别。
