composite_rank,composite_score,score_status,model_name,vendor,vendor_slug,primary_category,capability_tags,is_open_weight,open_weight_evidence,license,license_class,hf_gated,openrouter_model_id,openrouter_canonical_slug,zenmux_model_id,zenmux_match_method,zenmux_match_confidence,huggingface_model_id,openrouter_tokens,openrouter_requests,openrouter_documented_top50_tokens,openrouter_usage_change,openrouter_variants_merged,zenmux_tokens,zenmux_rank,hf_downloads_30d,hf_downloads_all_time,hf_likes,openrouter_usage_score,zenmux_usage_score,hf_downloads_30d_score,hf_likes_score,release_date_hf,openrouter_added_date,hf_last_modified,input_modalities,output_modalities,hf_pipeline_tag,context_length,max_completion_tokens,parameter_count_b,architecture,model_type,model_structure,experts_per_token,quantization_method,supports_reasoning,supports_tools,supports_structured_output,prompt_price_usd_per_million,completion_price_usd_per_million,knowledge_cutoff,openrouter_url,zenmux_url,huggingface_url,source_presence,openrouter_model_ids_merged
1,95.3082,complete_three_sources,DeepSeek V4 Pro,DeepSeek,deepseek,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|coding,True,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,mit,open_source_license,False,deepseek/deepseek-v4-pro,deepseek/deepseek-v4-pro-20260423,deepseek/deepseek-v4-pro,exact_slug,1.0,deepseek-ai/DeepSeek-V4-Pro,3336257142540,103204249,3336257142540,0.20238566486235549,deepseek/deepseek-v4-pro-20260423,34945386797,1,1635092,9110847,5337,98.1366,100.0,75.1553,97.4684,2026-04-22,2026-04-24,2026-06-22,text,text,text-generation,1048576,384000,1598.84,DeepseekV4ForCausalLM,deepseek_v4,Mixture-of-Experts,6,fp8,True,True,True,0.435,0.87,,https://openrouter.ai/deepseek/deepseek-v4-pro,https://zenmux.ai/models/deepseek/deepseek-v4-pro,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,deepseek/deepseek-v4-pro
2,92.3419,complete_three_sources,GLM 5.2,Z.ai,z-ai,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/zai-org/GLM-5.2,mit,open_source_license,False,z-ai/glm-5.2,z-ai/glm-5.2-20260616,z-ai/glm-5.2,exact_slug,1.0,zai-org/GLM-5.2,3312150220237,77289123,3312150220237,-0.07289073902477415,z-ai/glm-5.2-20260616,25533998027,2,1267198,1414195,4587,97.5155,93.75,72.6708,94.9367,2026-06-16,2026-06-16,2026-07-02,text,text,text-generation,1048576,131072,753.33,GlmMoeDsaForCausalLM,glm_moe_dsa,Mixture-of-Experts,8,,True,True,True,0.7686000000000001,2.4156,,https://openrouter.ai/z-ai/glm-5.2,https://zenmux.ai/models/z-ai/glm-5.2,https://huggingface.co/zai-org/GLM-5.2,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,z-ai/glm-5.2
3,89.9445,complete_three_sources,DeepSeek V4 Flash,DeepSeek,deepseek,Reasoning,text_input|text_output|reasoning|tool_use|structured_output,True,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,mit,open_source_license,False,deepseek/deepseek-v4-flash,deepseek/deepseek-v4-flash-20260423,deepseek/deepseek-v4-flash,exact_slug,1.0,deepseek-ai/DeepSeek-V4-Flash,6731002621952,636006376,6731002621952,0.2615796835827606,deepseek/deepseek-v4-flash-20260423,13226576201,6,3119592,8942773,1858,99.3789,81.25,83.8509,84.1772,2026-04-22,2026-04-24,2026-06-22,text,text,text-generation,1048576,393216,158.069,DeepseekV4ForCausalLM,deepseek_v4,Mixture-of-Experts,6,fp8,True,True,True,0.14,0.28,,https://openrouter.ai/deepseek/deepseek-v4-flash,https://zenmux.ai/models/deepseek/deepseek-v4-flash,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,deepseek/deepseek-v4-flash
4,83.4816,complete_three_sources,Kimi K3,MoonshotAI,moonshotai,Multimodal / VLM,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding|agentic,True,https://huggingface.co/moonshotai/Kimi-K3,other,open_weight_custom_or_other_license,False,moonshotai/kimi-k3,moonshotai/kimi-k3-20260715,moonshotai/kimi-k3,exact_slug,1.0,moonshotai/Kimi-K3,1254368332286,15059810,1254368332286,1.279686766422713,moonshotai/kimi-k3-20260715,16490021919,4,99214,99219,7652,95.0311,87.5,34.1615,99.3671,2026-06-13,2026-07-16,2026-07-27,text|image,text,image-text-to-text,1048576,,2779.932,KimiK3ForConditionalGeneration,kimi_k3,Dense or unspecified,,,True,True,True,3.0,15.0,,https://openrouter.ai/moonshotai/kimi-k3,https://zenmux.ai/models/moonshotai/kimi-k3,https://huggingface.co/moonshotai/Kimi-K3,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,moonshotai/kimi-k3
5,82.6872,complete_three_sources,DeepSeek V3.2,DeepSeek,deepseek,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,mit,open_source_license,False,deepseek/deepseek-v3.2,deepseek/deepseek-v3.2-20251201,deepseek/deepseek-v3.2,exact_slug,1.0,deepseek-ai/DeepSeek-V3.2,384804940135,52314638,384804940135,0.08292346630597235,deepseek/deepseek-v3.2-20251201,3442439559,17,1277394,21012205,1460,92.5466,75.0,73.2919,75.9494,2025-12-01,2025-12-01,2025-12-01,text,text,text-generation,163840,65536,685.397,DeepseekV32ForCausalLM,deepseek_v32,Mixture-of-Experts,8,fp8,True,True,True,0.26899999999999996,0.39999999999999997,,https://openrouter.ai/deepseek/deepseek-v3.2,https://zenmux.ai/models/deepseek/deepseek-v3.2,https://huggingface.co/deepseek-ai/DeepSeek-V3.2,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,deepseek/deepseek-v3.2
6,77.3918,complete_three_sources,MiniMax M3,MiniMax,minimax,Multimodal / VLM,text_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|coding|agentic,True,https://huggingface.co/MiniMaxAI/Minimax-M3,other,open_weight_custom_or_other_license,False,minimax/minimax-m3,minimax/minimax-m3-20260531,minimax/minimax-m3,exact_slug,1.0,MiniMaxAI/Minimax-M3,2092744272075,39998192,2092744272075,-0.3947217833463167,minimax/minimax-m3-20260531,2924905626,20,154969,348278,1380,96.2733,68.75,42.236,73.4177,2026-06-02,2026-05-31,2026-07-23,text|image|video,text,image-text-to-text,1048576,512000,427.04,MiniMaxM3SparseForConditionalGeneration,minimax_m3_vl,Dense or unspecified,,,True,True,True,0.3,1.2,,https://openrouter.ai/minimax/minimax-m3,https://zenmux.ai/models/minimax/minimax-m3,https://huggingface.co/MiniMaxAI/Minimax-M3,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,minimax/minimax-m3
7,72.8716,complete_three_sources,Kimi K2.7 Code,MoonshotAI,moonshotai,Code & Math,text_input|image_input|text_output|reasoning|tool_use|structured_output|coding,True,https://huggingface.co/moonshotai/Kimi-K2.7-Code,other,open_weight_custom_or_other_license,False,moonshotai/kimi-k2.7-code,moonshotai/kimi-k2.7-code-20260612,moonshotai/kimi-k2.7-code,exact_slug,1.0,moonshotai/Kimi-K2.7-Code,130363746685,2806432,50563301534,0.045421232570531385,moonshotai/kimi-k2.7-code-20260612,1858179537,23,681111,1405746,1329,85.0932,62.5,61.4907,69.6203,2026-06-11,2026-06-12,2026-06-15,text|image,text,image-text-to-text,262144,262144,1058.589,KimiK25ForConditionalGeneration,kimi_k25,Mixture-of-Experts,,,True,True,True,0.73,3.5,,https://openrouter.ai/moonshotai/kimi-k2.7-code,https://zenmux.ai/models/moonshotai/kimi-k2.7-code,https://huggingface.co/moonshotai/Kimi-K2.7-Code,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,moonshotai/kimi-k2.7-code
8,71.9382,complete_three_sources,MiMo-V2.5,Xiaomi,xiaomi,Multimodal / VLM,text_input|audio_input|image_input|video_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/XiaomiMiMo/MiMo-V2.5,mit,open_source_license,False,xiaomi/mimo-v2.5,xiaomi/mimo-v2.5-20260422,xiaomi/mimo-v2.5,exact_slug,1.0,XiaomiMiMo/MiMo-V2.5,10775161128985,157307855,10775161128985,0.14961162209210666,xiaomi/mimo-v2.5-20260422,690674342,32,321772,784840,372,100.0,50.0,52.795,30.3797,2026-04-27,2026-04-22,2026-07-09,text|audio|image|video,text,text-generation,1050000,131072,310.775,MiMoV2ForCausalLM,mimo_v2,Mixture-of-Experts,8,fp8,True,True,True,0.14,0.28,,https://openrouter.ai/xiaomi/mimo-v2.5,https://zenmux.ai/models/xiaomi/mimo-v2.5,https://huggingface.co/XiaomiMiMo/MiMo-V2.5,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,xiaomi/mimo-v2.5
9,70.4572,complete_three_sources,Hy3,Tencent,tencent,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/tencent/Hy3,apache-2.0,open_source_license,False,tencent/hy3,tencent/hy3-20260706,tencent/hy3,exact_slug,1.0,tencent/Hy3,4757418288825,59764690,4757418288825,101.21994316391938,tencent/hy3-20260706,857985140,29,20731,20731,885,98.7578,56.25,22.3602,59.4937,2026-07-02,2026-07-06,2026-07-20,text,text,text-generation,262144,128000,298.786,HYV3ForCausalLM,hy_v3,Mixture-of-Experts,8,,True,True,True,0.13199999999999998,0.5279999999999999,,https://openrouter.ai/tencent/hy3,https://zenmux.ai/models/tencent/hy3,https://huggingface.co/tencent/Hy3,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,tencent/hy3
10,62.2088,complete_three_sources,MiMo-V2.5-Pro,Xiaomi,xiaomi,Reasoning,text_input|text_output|reasoning|tool_use|structured_output|agentic,True,https://huggingface.co/XiaomiMiMo/MiMo-V2.5-Pro,mit,open_source_license,False,xiaomi/mimo-v2.5-pro,xiaomi/mimo-v2.5-pro-20260422,xiaomi/mimo-v2.5-pro,exact_slug,1.0,XiaomiMiMo/MiMo-V2.5-Pro,626623351672,10679095,626623351672,0.0715564992121313,xiaomi/mimo-v2.5-pro-20260422,626429258,34,60632,261428,721,94.4099,37.5,27.3292,50.0,2026-04-27,2026-04-22,2026-07-09,text,text,text-generation,1050000,131072,1023.245,MiMoV2ForCausalLM,mimo_v2,Mixture-of-Experts,8,fp8,True,True,True,0.435,0.87,,https://openrouter.ai/xiaomi/mimo-v2.5-pro,https://zenmux.ai/models/xiaomi/mimo-v2.5-pro,https://huggingface.co/XiaomiMiMo/MiMo-V2.5-Pro,OpenRouter|ZenMux_catalog|ZenMux_usage|HuggingFace,xiaomi/mimo-v2.5-pro
