editorial_rank,editorial_tier,repo_id,repo_name,html_url,description,landscape_section,agent_consumability,editorial_reason,awesome_value_score,evidence_grade,stars_current,watch_events_visible_3m,participants_3m,activity_months,openrank_202604,openrank_202605,openrank_202606,openrank_3m,pushed_at,created_at,language,license,github_snapshot_date,stage,stage_order
25,benchmark,21737465,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,Historical comparators,indirect,The canonical meta-list anchors the earlier human-curated awesome form and helps show what has changed.,61.26,B,489941,1745,35,3,6.43,6.39,3.38,16.2,2026-06-30T18:21:16Z,2014-07-11,,CC0-1.0,2026-07-29,discover,1
26,benchmark,655459367,e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,Historical comparators,indirect,A useful older-style directory of autonomous-agent projects against which skill-native repositories can be compared.,60.0,B,29139,85,29,3,9.86,3.88,3.14,16.88,2026-07-09T17:41:48Z,2023-06-19,,NOASSERTION,2026-07-29,discover,2
19,watch,793375104,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agents, Agent Skills and RAG Apps - Free and Open Source.",Agent project examples,hybrid,"Large example collection connecting agents, skills, and RAG apps; valuable for patterns, though less focused on reusable operating practice.",71.49,B,128390,656,12,3,5.23,4.12,3.06,12.41,2026-07-23T08:12:10Z,2024-04-29,Python,Apache-2.0,2026-07-29,discover,3
4,core,969302809,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,"A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins",Curated coding-agent ecosystems,hybrid,Broad Claude Code ecosystem map with sustained collaboration across all three observed months.,79.41,B,51142,432,43,3,11.76,4.91,4.31,20.98,2026-07-28T15:47:40Z,2025-04-19,Python,NOASSERTION,2026-07-29,discover,4
12,core,896335270,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,Tool and protocol catalogs,hybrid,The strongest collaboration signal in the classic-awesome group and a practical map of agent tool access.,69.14,B,91492,282,373,3,101.27,83.44,68.58,253.29,2026-07-25T19:50:40Z,2024-11-30,,MIT,2026-07-29,discover,5
6,core,1000362065,github/awesome-copilot,https://github.com/github/awesome-copilot,"Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.",Curated coding-agent ecosystems,direct,"Instructions, agents, skills, and configurations are already packaged in the forms a coding agent can consume.",78.08,B,37145,296,57,3,25.44,15.85,12.67,53.96,2026-07-28T05:35:31Z,2025-06-11,Python,MIT,2026-07-29,reuse,1
2,core,1078079172,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Curated coding-agent ecosystems,direct,A fast-growing skills-focused list that is narrower and more executable than a general tools directory.,81.47,B,71169,698,40,3,6.38,4.76,4.14,15.28,2026-07-24T07:48:01Z,2025-10-17,Python,,2026-07-29,reuse,2
8,core,1132750706,composio-community/awesome-codex-skills,https://github.com/composio-community/awesome-codex-skills,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.,Curated coding-agent ecosystems,direct,Codex-specific workflow skills are an early but strong example of an awesome list becoming an agent input.,75.19,B,15373,831,10,3,0.94,2.8,1.03,4.77,2026-07-26T01:14:54Z,2026-01-12,Python,,2026-07-29,reuse,3
14,core,1084853233,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",Cross-agent skill catalogs,direct,"Cross-harness catalog covering Claude Code, Codex, Gemini CLI, Cursor, and other agents.",65.24,B,29124,515,21,3,8.54,7.43,6.14,22.11,2026-07-10T13:55:37Z,2025-10-28,,MIT,2026-07-29,reuse,4
13,core,1197515131,VoltAgent/awesome-design-md,https://github.com/VoltAgent/awesome-design-md,A collection of DESIGN.md files analysis by popular brand design systems. Drop one into your project and let coding agents generate a matching UI.,Domain playbooks as code,direct,A concrete example of curated design-system knowledge becoming a drop-in DESIGN.md for coding agents.,65.65,B,105098,2188,5,1,8.25,4.7,0.0,12.95,2026-06-16T14:21:08Z,2026-03-31,,MIT,2026-07-29,reuse,5
23,watch,1220744720,freestylefly/awesome-gpt-image-2,https://github.com/freestylefly/awesome-gpt-image-2,Prompt as Code | GPT-Image2 工业级提示词引擎与模板库，470+ 个案例逆向工程，20+ 套工业级模板，并提炼出Skills，持续更新中,Domain playbooks as code,direct,Prompt-as-code image templates distilled into skills; a clean bridge from the older prompt-gallery form to executable agent assets.,59.92,B,8848,558,3,2,0.36,0.31,0.26,0.93,2026-07-22T16:57:36Z,2026-04-25,JavaScript,MIT,2026-07-29,reuse,6
24,watch,980205160,enescingoz/awesome-n8n-templates,https://github.com/enescingoz/awesome-n8n-templates,"280+ free n8n automation templates — ready-to-use workflows for Gmail, Telegram, Slack, Discord, WhatsApp, Google Drive, Notion, OpenAI, and more. AI agents, RAG   chatbots, email automation, social media, DevOps, and document processing. The largest open-source n8n template collection.",Domain playbooks as code,hybrid,Ready-to-use automation templates show how an awesome list can move from reference links toward runnable workflows.,59.89,B,24218,144,4,2,0.74,0.54,0.62,1.9,2026-07-23T21:04:30Z,2025-05-08,,NOASSERTION,2026-07-29,reuse,7
11,core,1061953414,anthropics/skills,https://github.com/anthropics/skills,Public repository for Agent Skills,Native skill catalogs,direct,Official public Agent Skills repository; useful as a canonical reference for the skill-native successor to awesome lists.,71.12,B,164771,2148,37,3,14.87,9.41,4.95,29.23,2026-07-24T20:12:36Z,2025-09-22,Python,,2026-07-29,install,1
10,core,1103643573,openai/skills,https://github.com/openai/skills,Skills Catalog for Codex,Native skill catalogs,direct,Codex Skills catalog with unusually broad three-month participant activity for this repository form.,71.82,B,24276,377,105,3,4.67,5.39,14.19,24.25,2026-07-14T16:47:46Z,2025-11-25,Python,,2026-07-29,install,2
7,core,1134543109,vercel-labs/skills,https://github.com/vercel-labs/skills,The open agent skills tool - npx skills,Native skill catalogs,direct,"Combines a skill catalog with an installation tool, turning discovery into a machine-actionable workflow.",76.77,B,27445,498,51,3,21.58,18.69,12.15,52.42,2026-07-22T21:14:21Z,2026-01-14,TypeScript,MIT,2026-07-29,install,3
3,core,1158722119,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,Native skill catalogs,direct,Production-oriented engineering skills with one of the strongest visible growth signals in the skill-native group.,81.16,B,80747,2759,27,3,4.56,4.83,5.7,15.09,2026-07-26T12:51:12Z,2026-02-15,JavaScript,MIT,2026-07-29,install,4
22,watch,1197652028,google/skills,https://github.com/google/skills,Agent Skills for Google products and technologies,Native skill catalogs,direct,"Official product skills with strong visible star momentum, though current contributor breadth is still narrow.",69.0,B,15302,621,6,2,2.9,1.56,0.0,4.46,2026-07-28T16:18:13Z,2026-03-31,Python,Apache-2.0,2026-07-29,install,5
21,watch,1100776768,anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,"Official, Anthropic-managed directory of high quality Claude Code Plugins.",Native skill catalogs,direct,A curated official plugin directory with strong collaboration; useful for testing whether plugins and skills converge.,69.32,B,32782,1152,65,3,27.78,24.52,12.28,64.58,2026-07-28T12:50:33Z,2025-11-20,Python,Apache-2.0,2026-07-29,install,6
18,watch,1025856648,wshobson/agents,https://github.com/wshobson/agents,"Multi-harness agentic plugin marketplace for Claude Code, Codex CLI, Cursor, OpenCode, GitHub Copilot, and Gemini CLI",Cross-agent skill catalogs,direct,"A multi-harness plugin marketplace spanning Claude Code, Codex, Cursor, OpenCode, Copilot, and Gemini CLI.",71.9,B,38325,209,11,3,2.18,1.68,2.86,6.72,2026-07-22T15:32:23Z,2025-07-24,Python,MIT,2026-07-29,install,7
1,core,1136590548,affaan-m/ECC,https://github.com/affaan-m/ECC,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond.",Agent operating practice,direct,"Packages coding-agent practice as a working harness with skills, memory, security, and research conventions.",86.12,B,234593,3915,76,3,23.67,21.51,18.2,63.38,2026-07-27T20:45:18Z,2026-01-18,JavaScript,MIT,2026-07-29,operate,1
5,core,1073224795,obra/superpowers,https://github.com/obra/superpowers,An agentic skills framework & software development methodology that works.,Agent operating practice,direct,A software-development methodology distributed as an agent skills framework; it directly tests the code-is-cheap hypothesis.,79.12,B,262574,4684,60,3,30.45,20.54,12.59,63.58,2026-07-24T21:21:36Z,2025-10-09,Shell,MIT,2026-07-29,operate,2
16,core,1042367133,github/spec-kit,https://github.com/github/spec-kit,💫 Toolkit to help you get started with Spec-Driven Development,Agent operating practice,direct,Spec-driven development gives coding agents durable intent and acceptance criteria instead of only prompt snippets.,63.16,B,124281,1902,63,3,24.07,22.48,21.54,68.09,2026-07-28T16:40:37Z,2025-08-21,Python,MIT,2026-07-29,operate,3
15,core,1179264259,garrytan/gstack,https://github.com/garrytan/gstack,"Use Garry Tan's exact Claude Code setup: 23 opinionated tools that serve as CEO, Designer, Eng Manager, Release Manager, Doc Engineer, and QA",Agent operating practice,direct,An opinionated operating stack that packages role-specific tools and workflows around Claude Code.,63.43,B,124937,2173,83,3,24.45,20.85,12.27,57.57,2026-07-15T01:33:47Z,2026-03-11,TypeScript,MIT,2026-07-29,operate,4
9,core,1087192965,shanraisshan/claude-code-best-practice,https://github.com/shanraisshan/claude-code-best-practice,from vibe coding to agentic engineering - practice makes claude perfect,Agent operating practice,hybrid,A focused practice repository whose positioning explicitly moves from ad hoc generation toward agentic engineering.,73.01,B,63644,806,4,3,2.85,2.76,1.03,6.64,2026-07-28T06:39:12Z,2025-10-31,HTML,MIT,2026-07-29,operate,5
17,watch,1134426800,sickn33/agentic-awesome-skills,https://github.com/sickn33/agentic-awesome-skills,"AAS Core is the local, agent-first control plane for complete catalog discovery, agent-owned selection, stack validation, and planning, backed by 1,987+ agentic skills. Includes CLI, local MCP, catalog, plugins, and Workbench.",Cross-agent skill catalogs,direct,"Interesting agent-first catalog and local MCP control plane; recent rename makes name-based activity misleading, so repo-ID tracking matters.",81.8,B,44075,432,23,3,12.35,10.02,9.83,32.2,2026-07-28T15:34:14Z,2026-01-14,Python,MIT,2026-07-29,operate,6
20,watch,1150071903,rohitg00/awesome-claude-code-toolkit,https://github.com/rohitg00/awesome-claude-code-toolkit,"The most comprehensive toolkit for Claude Code -- 135 agents, 35 curated skills, 42 commands, 176+ plugins, 20 hooks, 15 rules, 7 templates, 14 MCP configs, 26 companion apps, 52 ecosystem entries, and more.",Curated coding-agent ecosystems,direct,"Dense toolkit with agents, skills, commands, hooks, rules, and MCP configs, but its shorter activity history needs another window.",69.34,B,2402,46,23,2,4.09,4.08,2.68,10.85,2026-05-12T07:18:34Z,2026-02-04,JavaScript,Apache-2.0,2026-07-29,operate,7
